cluster,latitude,longitude,visit_count,visit_percentage
9,40.009068327298,116.34367131203106,14645638,59.22196683819464
1,39.885084622669496,116.51471279413052,5487320,22.188851251858214
2,30.193778420565952,114.72944931832454,1160492,4.692633993820561
0,42.367534318800175,117.55675820133548,785358,3.1757199947254513
6,38.56111986534879,116.2516630682243,683587,2.764192768182647
4,20.073561570478283,111.09578263765106,591782,2.3929646478658353
8,34.994946653220524,114.16455958038661,582360,2.3548652921703397
7,35.94855013940572,96.99280399194349,324694,1.312951835936459
5,42.804797071127226,-117.33102610105298,298423,1.2067208686814845
3,44.775164122169755,6.8298854926330135,170423,0.6891325085643688
